package_name,is_known,jar,class,method_name,method_sig,line,register,usage_type,usage_detail,file
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,startHandOverLteToWifi,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int startHandOverLteToWifi(int,java.lang.String,android.os.IBinder,android.app.PendingIntent)>",1883,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,startHandOverLteToWifiBySim,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int startHandOverLteToWifiBySim(int,java.lang.String,android.os.IBinder,android.app.PendingIntent,int)>",1977,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,startHandOverWifiToLte,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int startHandOverWifiToLte(int,java.lang.String,android.os.IBinder,android.app.PendingIntent)>",2073,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,startHandOverWifiToLteBySim,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int startHandOverWifiToLteBySim(int,java.lang.String,android.os.IBinder,android.app.PendingIntent,int)>",2167,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,triggerHOAfterReleaseCall,<com.sec.epdg.IEpdgManager$Stub$Proxy: boolean triggerHOAfterReleaseCall(int)>,2260,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,getInterfaceDescriptor,<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: java.lang.String getInterfaceDescriptor()>,54,v0,unknown,return-object v0,/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,onEpdgAvailable,"<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: void onEpdgAvailable(int,int,int)>",78,v1,invoke,"invoke-virtual {v0, v1}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,onEpdgDeregister,<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: void onEpdgDeregister(int)>,138,v1,invoke,"invoke-virtual {v0, v1}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,onEpdgHandoverEnableChanged,"<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: void onEpdgHandoverEnableChanged(int,boolean)>",195,v1,invoke,"invoke-virtual {v0, v1}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,onEpdgHandoverResult,"<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: void onEpdgHandoverResult(int,int,int,java.lang.String)>",257,v1,invoke,"invoke-virtual {v0, v1}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,onEpdgIpsecConnection,"<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: void onEpdgIpsecConnection(int,java.lang.String,int,int)>",325,v1,invoke,"invoke-virtual {v0, v1}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,onEpdgIpsecDisconnection,"<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: void onEpdgIpsecDisconnection(int,java.lang.String)>",391,v1,invoke,"invoke-virtual {v0, v1}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,onEpdgRegister,"<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: void onEpdgRegister(int,boolean)>",451,v1,invoke,"invoke-virtual {v0, v1}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,onEpdgReleaseCall,<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: void onEpdgReleaseCall(int)>,510,v1,invoke,"invoke-virtual {v0, v1}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
com.sec.epdg.IEpdgHandoverListener,no,EpdgManager,com.sec.epdg.IEpdgHandoverListener$Stub$Proxy,onEpdgShowPopup,"<com.sec.epdg.IEpdgHandoverListener$Stub$Proxy: void onEpdgShowPopup(int,int)>",567,v1,invoke,"invoke-virtual {v0, v1}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgHandoverListener$Stub$Proxy.smali
ro.smps.gain.phone,no,SmpsManager,com.samsung.audio.SmpsManager,<clinit>,<com.samsung.audio.SmpsManager: void <clinit>()>,188,v0,invoke,"invoke-static {v0, v1}, Landroid/os/SystemProperties;->get(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;",/artifact/work/samsung/smali/SmpsManager/com/samsung/audio/SmpsManager.smali
